0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:19 +0800] "GET /static/css/patterns/header-profile.png HTTP/1.1" 200 5877 8
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:19 +0800] "GET /static/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780 10
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:19 +0800] "POST /manage/account/getUserAccessList HTTP/1.1" 200 8121 94
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /manage/trainTest/touserDetailList HTTP/1.1" 200 29356 25
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/bootstrap-switch.css HTTP/1.1" 200 6993 3
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 117305 18
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/gritter/jquery.gritter.css HTTP/1.1" 200 2556 3
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/font-awesome/css/font-awesome.css HTTP/1.1" 200 28747 6
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/plugins/toastr/toastr.min.css HTTP/1.1" 200 6882 4
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/animate.css HTTP/1.1" 200 68411 7
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/plugins/dataTables/dataTables.bootstrap.css HTTP/1.1" 200 5178 3
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/style.css HTTP/1.1" 200 156956 8
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/plugins/dataTables/dataTables.responsive.css HTTP/1.1" 200 2626 7
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/plugins/dataTables/dataTables.tableTools.min.css HTTP/1.1" 200 6601 5
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 37045 4
